The     Blackberry Creek at            Yorkville
Coordinates: Lat:  41.67; Lon:  88.44
Surface:      182.0 km²
-----------------------------------------               
Fields                                                  
Date : date (YYYYMMDD)                                  
Qobs : observed discharges (in m^3/s)                   
Ptot : total precipitation over the basin (in mm)       
Fsol : fraction of solid precipitation (between 0 and 1)
Temp : averaged air temperature over the basin (in °C)  
PE   : potential evapotranspiration (in mm)             
-----------------------------------------               
    Date;      Qobs;  Ptot;   Fsol;  Temp;    PE;       
19800101;     1.161;   0.0; -99.00;  -0.5;   0.2;
19800102;     1.048;   0.0; -99.00;  -2.3;   0.1;
19800103;     0.963;   0.0; -99.00;  -2.2;   0.1;
19800104;     0.878;   0.0; -99.00;  -2.5;   0.1;
19800105;     0.850;   0.0; -99.00;  -4.3;   0.0;
19800106;     0.765;   0.0; -99.00;  -3.9;   0.1;
19800107;     0.708;   4.5; -99.00;  -6.4;   0.0;
19800108;     0.595;   0.0; -99.00; -11.4;   0.0;
19800109;     0.510;   0.0; -99.00; -12.2;   0.0;
19800110;     0.481;   0.0; -99.00;  -8.1;   0.0;
19800111;     0.510;   1.6; -99.00;   1.7;   0.4;
19800112;     0.538;   0.0; -99.00;  -3.8;   0.1;
19800113;     0.595;   0.0; -99.00;  -5.7;   0.0;
19800114;     0.651;   0.0; -99.00;  -2.4;   0.2;
19800115;     0.566;   0.0; -99.00;   0.1;   0.3;
19800116;     0.708;   3.2; -99.00;   4.0;   0.5;
19800117;     1.444;   6.1; -99.00;   5.5;   0.6;
19800118;     1.189;   0.0; -99.00;   0.2;   0.3;
19800119;     0.934;   0.0; -99.00;  -2.3;   0.2;
19800120;     0.736;   0.0; -99.00;  -4.0;   0.1;
19800121;     0.595;   0.0; -99.00;  -4.2;   0.0;
19800122;     0.481;   0.9; -99.00;  -3.9;   0.1;
19800123;     0.453;   0.0; -99.00;  -8.7;   0.0;
19800124;     0.453;   2.2; -99.00; -10.2;   0.0;
19800125;     0.425;   1.0; -99.00;  -4.0;   0.1;
19800126;     0.425;   0.0; -99.00; -10.7;   0.0;
19800127;     0.425;   0.2; -99.00; -12.6;   0.0;
19800128;     0.453;   0.0; -99.00; -14.9;   0.0;
19800129;     0.453;   0.0; -99.00; -14.8;   0.0;
19800130;     0.453;   1.0; -99.00; -13.3;   0.0;
19800131;     0.453;   1.1; -99.00; -10.8;   0.0;
19800201;     0.453;   0.0; -99.00; -12.3;   0.0;
19800202;     0.481;   0.0; -99.00; -12.9;   0.0;
19800203;     0.481;   0.0; -99.00; -11.3;   0.0;
19800204;     0.481;   0.0; -99.00; -11.0;   0.0;
19800205;     0.453;   1.1; -99.00;  -8.7;   0.0;
19800206;     0.453;   5.1; -99.00;  -5.1;   0.0;
19800207;     0.453;   0.0; -99.00;  -6.6;   0.0;
19800208;     0.425;   0.0; -99.00;  -5.8;   0.0;
19800209;     0.425;   2.8; -99.00;  -5.3;   0.0;
19800210;     0.396;   0.0; -99.00; -10.5;   0.0;
19800211;     0.396;   0.0; -99.00;  -9.1;   0.0;
19800212;     0.368;   0.0; -99.00; -11.4;   0.0;
19800213;     0.340;   0.0; -99.00;  -9.9;   0.0;
19800214;     0.368;   0.0; -99.00;  -4.9;   0.0;
19800215;     0.368;   3.0; -99.00;  -2.8;   0.2;
19800216;     0.340;   1.0; -99.00;  -9.4;   0.0;
19800217;     0.340;   0.0; -99.00; -15.2;   0.0;
19800218;     0.368;   0.0; -99.00; -11.6;   0.0;
19800219;     0.396;   0.0; -99.00;  -3.8;   0.1;
19800220;     0.453;   0.0; -99.00;   1.4;   0.5;
19800221;     0.708;   0.0; -99.00;   2.6;   0.6;
19800222;     2.832;   6.2; -99.00;   2.8;   0.7;
19800223;     4.502;   0.0; -99.00;   1.5;   0.6;
19800224;     2.407;   0.0; -99.00;   0.1;   0.5;
19800225;     1.812;   4.0; -99.00;  -2.4;   0.2;
19800226;     1.303;   0.2; -99.00; -11.0;   0.0;
19800227;     1.048;   0.0; -99.00;  -7.5;   0.0;
19800228;     0.906;   4.2; -99.00;  -4.8;   0.0;
19800229;     0.793;   0.0; -99.00; -10.7;   0.0;
19800301;     0.680;   2.3; -99.00; -11.8;   0.0;
19800302;     0.595;   0.0; -99.00; -11.5;   0.0;
19800303;     0.566;   0.0; -99.00;  -7.9;   0.0;
19800304;     0.651;   0.0; -99.00;  -2.3;   0.3;
19800305;     0.765;   1.0; -99.00;  -0.6;   0.4;
19800306;     0.708;   0.0; -99.00;  -7.2;   0.0;
19800307;     0.623;   0.0; -99.00;  -4.7;   0.0;
19800308;     0.623;   9.7; -99.00;  -1.1;   0.4;
19800309;     0.680;   0.0; -99.00;  -1.6;   0.3;
19800310;     0.850;   0.0; -99.00;   0.6;   0.6;
19800311;     1.699;   0.0; -99.00;  -4.3;   0.1;
19800312;     1.048;   0.0; -99.00;  -5.2;   0.0;
19800313;     0.878;   3.3; -99.00;  -3.2;   0.2;
19800314;     0.850;   0.3; -99.00;  -2.4;   0.3;
19800315;     0.963;   0.0; -99.00;   0.7;   0.6;
19800316;     1.897;   0.0; -99.00;   6.5;   1.3;
19800317;     2.577;   6.7; -99.00;   5.7;   1.2;
19800318;     2.407;   0.0; -99.00;   0.9;   0.7;
19800319;     1.784;   0.0; -99.00;   4.7;   1.1;
19800320;     1.614;   0.0; -99.00;   7.3;   1.4;
19800321;     1.557;   0.6; -99.00;   5.4;   1.2;
19800322;     1.444;   0.0; -99.00;   1.0;   0.7;
19800323;     1.274;   0.5; -99.00;   2.9;   0.9;
19800324;     1.388;   4.0; -99.00;   5.1;   1.2;
19800325;     1.642;   1.2; -99.00;  -0.8;   0.5;
19800326;     1.388;   0.0; -99.00;   0.2;   0.6;
19800327;     1.274;   0.0; -99.00;   3.5;   1.0;
19800328;     1.218;   0.0; -99.00;   5.7;   1.3;
19800329;     1.218;   1.4; -99.00;   4.6;   1.2;
19800330;     1.189;   0.0; -99.00;   5.1;   1.3;
19800331;     1.218;   6.0; -99.00;   3.9;   1.1;
